TimesUsed,OftenText,OftenVideo,OftenPhone,OftenSocialMedia,OftenSoloGame,OftenMultiplay,OftenEntertain,OftenCultural,OftenCreative,FeatureTalkFriends,FeatureTalkStranger,FeatureScreenshot,DataPriv,PrivFeatUsed,ControlPriv,BiometricDevelop,BiometricMarket,BiometricSellAnon,BiometricSellData,SoloVMulti,UseVRGames,UseVRUnique,UseVRImmersive,UseVRFriends,UseVRStrangers,UseVRAlone,UseVRDemo,PrimaryUseVR,WishFriends,VRAlone,Lonely,ConnectPeople,NegSocExperience,HarrBubble,HarrInvisib,HarrMute,HarrBlock,HarrLive,HarrVoice,IdealAvatar,WorkTime,HoursVR,USLive,State,GenderID,ConsiderHarrassment,DescribHarr,Howlong,Country
More than once a week,Daily,Daily,Daily,Daily,2 + times per week,Daily,Monthly,Rarely,Once a week,Don't know/NA,Very important,Neutral,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted emails (GPG)",Somewhat,Neutral,Somewhat acceptable,Unacceptable,Unacceptable,I spend significantly more time in multi-user than in single-user/solo experiences.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Spend time with friends,Agree,Disagree,Agree,Strongly agree,"Violent comments or threats, Sexually suggestive or sexist comments, Racist or homophobic comments, Catcalling/lewd noises, Rude gestures, Stalking, Groping, transphobic comments",Effective,Don't know/NA,Ineffective,Effective,Strongly effective,Don't know/NA,It doesn't look like me.,Less than half of my time in VR is work-related.,More than 20 hours,Yes,Michigan,Transgender female,Yes,"Guy from Israel kept saying how most of the world hates people like me, and how they put us to death in some countries.",More than a year,NA
About once a week,Daily,Daily,2+ times per week,Daily,Monthly,Monthly,Daily,Monthly,Monthly,Very important,Neutral,Neutral,Important,None of these,Not at all,Somewhat acceptable,Somewhat acceptable,Neutral,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Agree,Agree,Agree,Agree,Disagree,Strongly agree,Agree,Unique experiences,Disagree,Agree,Disagree,Disagree,Sexually suggestive or sexist comments,Strongly effective,Strongly effective,Strongly effective,Strongly effective,Strongly effective,Strongly effective,It looks like me.,Less than half of my time in VR is work-related.,2-5 hours,Yes,New York,Female,No,NA,More than a year,NA
More than once a week,Daily,2+ times per week,Once a week,Daily,Rarely,Once a week,Rarely,Monthly,Once a week,Very important,Neutral,Very important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Somewhat,Unacceptable,Somewhat unacceptable,Somewhat unacceptable,Unacceptable,I spend significantly more time in multi-user than in single-user/solo experiences.,Agree,Agree,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Spend time with friends,Strongly agree,Disagree,Agree,Disagree,Ive seen and heard people talking lewd/racist and childish. Ive had kids try to annoy me in rec room too.,Strongly effective,Don't know/NA,Effective,Ineffective,Neutral,Strongly ineffective,"It looks non-human (robot/animal)., It doesn't look like me., The graphics look realistic., The graphics look like a cartoon.",Less than half of my time in VR is work-related.,2-5 hours,Yes,California,Male,No,NA,More than a year,NA
More than once a week,Never used,Never used,Never used,Daily,2 + times per week,Rarely,Monthly,Monthly,Rarely,Very unimportant,Very unimportant,Very unimportant,Very important,"VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Very little,Somewhat acceptable,Somewhat unacceptable,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Strongly disagree,Strongly disagree,Agree,Agree,Play games,Disagree,Agree,Strongly disagree,Strongly disagree,I have experienced none of these,Effective,Effective,Effective,Strongly effective,Neutral,Effective,The graphics look like a cartoon.,Over half of my time in VR is work-related.,2-5 hours,No,NA,Male,No,NA,More than a year,Canada
About once a week,2+ times per week,Monthly,2+ times per week,Daily,Once a week,Rarely,Rarely,Rarely,Monthly,Important,Neutral,Neutral,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted texts (Signal, WhatsApp), Adblocker software",Somewhat,Acceptable,Acceptable,Somewhat unacceptable,Somewhat unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Strongly agree,Get work done,Agree,Strongly disagree,Agree,Agree,"Violent comments or threats, Sexually suggestive or sexist comments, Racist or homophobic comments, Catcalling/lewd noises, Rude gestures, Stalking",Effective,Neutral,Neutral,Neutral,Effective,Neutral,"It looks non-human (robot/animal)., It doesn't look like me., The graphics look like a cartoon.",Over half of my time in VR is work-related.,2-5 hours,Yes,Oregon,Transgender female,Yes,NA,More than a year,NA
More than once a week,Daily,Once a week,2+ times per week,Daily,2 + times per week,2 + times per week,Once a week,Daily,Once a week,Important,Unimportant,Very important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Adblocker software",Somewhat,Acceptable,Acceptable,Neutral,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Agree,Agree,Disagree,Exciting experiences,Disagree,Agree,Disagree,Disagree,I have experienced none of these,Effective,Strongly effective,Strongly effective,Strongly effective,Effective,Strongly effective,It doesn't look like me.,I don't use VR in my work.,2-5 hours,Yes,Michigan,Female,Yes,NA,Between 3 months and 6 months,NA
More than once a week,Daily,Once a week,2+ times per week,Daily,Monthly,Monthly,Monthly,Once a week,2 + times per week,Important,Neutral,Important,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Very little,Acceptable,Acceptable,Unacceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Disagree,Strongly agree,Get work done,Agree,Disagree,Strongly agree,Agree,I have experienced none of these,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,"It looks non-human (robot/animal)., It doesn't look like me., The graphics look realistic.",Over half of my time in VR is work-related.,2-5 hours,Yes,Massachusetts,Female,I don't know/Not applicable,NA,More than a year,NA
More than once a week,2+ times per week,2+ times per week,2+ times per week,Daily,Once a week,Daily,Monthly,Once a week,Once a week,Very important,Important,Very important,Very important,"Password manager (Last Pass, 1Password), Encrypted texts (Signal, WhatsApp), Anonymous browsers/proxies (Tor)",To a great extent,Acceptable,Acceptable,Somewhat unacceptable,Unacceptable,I spend significantly more time in multi-user than in single-user/solo experiences.,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Exciting experiences,Strongly agree,Disagree,Agree,Agree,"Violent comments or threats, Sexually suggestive or sexist comments, Racist or homophobic comments, Catcalling/lewd noises, Rude gestures, Groping",Effective,Effective,Effective,Strongly effective,Strongly effective,Strongly effective,"It looks like me., The graphics look realistic.",Over half of my time in VR is work-related.,11-20 hours,Yes,California,Female,Yes,"I play multiplayer vr games daily in dead and buried, because we have avatars with no space bubbles in the lobby before the game starts, often team mates who discover I'm a female will grope my character and make lewd gestures. Often times during game play, they will shoot me even though I'm on their team to affect my overall character scorings. ",More than a year,NA
More than once a week,2+ times per week,Never used,2+ times per week,2+ times per week,2 + times per week,Rarely,Monthly,Monthly,Monthly,Neutral,Neutral,Neutral,Important,Don't know/Prefer not to answer,Somewhat,Neutral,Neutral,Neutral,Neutral,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Agree,Exciting experiences,Disagree,Agree,Disagree,Disagree,I have experienced none of these,Effective,Effective,Effective,Effective,Effective,Neutral,It looks like me.,I don't use VR in my work.,2-5 hours,No,NA,Male,I don't know/Not applicable,NA,More than a year,uk
About once a week,Daily,Monthly,Monthly,Daily,Rarely,Once a week,Once a week,Once a week,2 + times per week,Unimportant,Important,Unimportant,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted texts (Signal, WhatsApp), Anonymous browsers/proxies (Tor), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Somewhat,Somewhat acceptable,Unacceptable,Somewhat unacceptable,Unacceptable,I spend slightly more time in multi-user than in single-user/solo experiences.,Agree,Strongly agree,Strongly agree,Disagree,Strongly agree,Strongly agree,Agree,Unique experiences,Disagree,Agree,Agree,Agree,"Racist or homophobic comments, Rude gestures, Groping",Effective,Effective,Effective,Strongly effective,Strongly effective,Don't know/NA,It looks like me.,Less than half of my time in VR is work-related.,2-5 hours,Yes,Illinois,Male,No,NA,More than a year,NA
2-3x/month,Daily,Monthly,Daily,Daily,Once a week,Never used,2 + times per week,Never used,Rarely,Important,Neutral,Unimportant,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Somewhat,Acceptable,Neutral,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Strongly disagree,Strongly agree,Strongly agree,Play games,Disagree,Strongly agree,Strongly disagree,Strongly disagree,I have experienced none of these,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,Don't know/NA,"It looks like me., The graphics look realistic., The graphics look like a cartoon.",I don't use VR in my work.,1 hour or less,Yes,California,Male,I don't know/Not applicable,NA,Less than 3 months,NA
More than once a week,Daily,Once a week,Daily,Daily,Daily,Daily,Rarely,Rarely,Monthly,Very important,Important,Very important,Unimportant,"Two-factor authentication (Authy, Google Authenticator, SMS codes)",Very little,Acceptable,Somewhat acceptable,Somewhat unacceptable,Unacceptable,I spend significantly more time in multi-user than in single-user/solo experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Agree,Disagree,Strongly agree,Play games,Strongly agree,Strongly disagree,Strongly agree,Strongly agree,"Violent comments or threats, Sexually suggestive or sexist comments, Catcalling/lewd noises, Rude gestures, Stalking",Effective,Effective,Strongly effective,Strongly effective,Neutral,Effective,"It looks like me., The graphics look realistic.",Over half of my time in VR is work-related.,6-10 hours,No,NA,Female,Yes,In a Oculus Trivia - a man with a horrifying clown avatar (Oculus why did you make a clown with red eyes??) would use the lack of spatial audio to make it sound like he was whispering into your ear. <d2>I can see you! I am behind you...<d3> etc. It was pretty frightening & horrible. Everyone in the room just pretended to ignore it.,More than a year,Canada
2-3x/month,Daily,2+ times per week,Daily,Daily,Once a week,Once a week,Monthly,Rarely,Rarely,Unimportant,Important,Neutral,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Anonymous browsers/proxies (Tor), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Very little,Somewhat acceptable,Somewhat unacceptable,Unacceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Strongly agree,Unique experiences,Disagree,Agree,Disagree,Disagree,"Violent comments or threats, Racist or homophobic comments, Rude gestures, Groping",Strongly effective,Strongly effective,Strongly effective,Strongly effective,Neutral,Strongly effective,"It looks like me., It looks non-human (robot/animal)., The graphics look like a cartoon.",I don't use VR in my work.,2-5 hours,Yes,Oregon,Male,I don't know/Not applicable,"Another avatar approached mine and simulated groping and masturbation, both our avatars presented as male. Since the avatar has dead/still eyes the other avatar stared blankly at me while doing the gestures and movements before I could teleport away. ",Between 6 months and a year,NA
More than once a week,Daily,Once a week,2+ times per week,Daily,Once a week,Once a week,Once a week,2 + times per week,Once a week,Important,Neutral,Neutral,Important,None of these,Somewhat,Neutral,Neutral,Neutral,Neutral,I spend significantly more time in single-user/solo than in multi-user experiences.,Disagree,Agree,Strongly agree,Disagree,Disagree,Strongly agree,Disagree,Exciting experiences,Disagree,Strongly agree,Disagree,Disagree,I have experienced none of these,Neutral,Effective,Effective,Strongly effective,Effective,Effective,It looks like me.,I don't use VR in my work.,2-5 hours,Yes,Delaware,Male,No,NA,Between 3 months and 6 months,NA
More than once a week,Daily,Rarely,Daily,Daily,Once a week,Rarely,Once a week,Once a week,2 + times per week,Neutral,Neutral,Very important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Anonymous browsers/proxies (Tor), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Very little,Somewhat acceptable,Neutral,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Agree,Strongly agree,Strongly agree,Disagree,Agree,Agree,Agree,Unique experiences,Strongly agree,Agree,Disagree,Disagree,I have experienced none of these,Don't know/NA,Effective,Effective,Effective,Don't know/NA,Don't know/NA,It looks like me.,Less than half of my time in VR is work-related.,2-5 hours,Yes,California,Male,I don't know/Not applicable,NA,More than a year,NA
More than once a week,Daily,Daily,Daily,Daily,Monthly,Monthly,Daily,Monthly,Daily,Very important,Neutral,Don't know/NA,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted emails (GPG), Encrypted texts (Signal, WhatsApp), VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Not at all,Acceptable,Somewhat unacceptable,Somewhat unacceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Disagree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Strongly agree,Get work done,Agree,Agree,Disagree,Strongly disagree,I have experienced none of these,Strongly effective,Strongly effective,Strongly effective,Neutral,Neutral,Effective,The graphics look realistic.,Over half of my time in VR is work-related.,11-20 hours,Yes,California,Male,No,NA,More than a year,NA
More than once a week,Daily,Daily,Daily,Daily,2 + times per week,Rarely,2 + times per week,Rarely,Monthly,Very important,Neutral,Important,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted texts (Signal, WhatsApp), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Very little,Neutral,Neutral,Somewhat unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Disagree,Disagree,Strongly agree,Agree,Play games,Agree,Agree,Disagree,Disagree,I have experienced none of these,Effective,Effective,Effective,Strongly effective,Effective,Neutral,"It looks like me., The graphics look realistic.",Less than half of my time in VR is work-related.,2-5 hours,Yes,Washington,Male,No,NA,More than a year,NA
About once a week,Daily,Rarely,2+ times per week,Daily,Monthly,Once a week,Never used,Rarely,Monthly,Very important,Unimportant,Neutral,Very important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted texts (Signal, WhatsApp), Adblocker software",Very little,Somewhat acceptable,Somewhat unacceptable,Somewhat unacceptable,Unacceptable,I spend significantly more time in multi-user than in single-user/solo experiences.,Strongly agree,Agree,Strongly agree,Strongly agree,Disagree,Disagree,Agree,Play games,Agree,Disagree,Agree,Agree,"Sexually suggestive or sexist comments, Racist or homophobic comments, Catcalling/lewd noises, Groping",Effective,Effective,Effective,Strongly effective,Strongly ineffective,Effective,It looks like me.,I don't use VR in my work.,2-5 hours,Yes,Texas,Female,Yes,NA,More than a year,NA
More than once a week,Daily,2+ times per week,Once a week,Daily,2 + times per week,Rarely,Never used,Never used,Rarely,Very important,Very unimportant,Don't know/NA,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted texts (Signal, WhatsApp)",Somewhat,Somewhat unacceptable,Somewhat unacceptable,Unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Strongly agree,Agree,Agree,Disagree,Strongly disagree,Agree,Strongly agree,Play games,Disagree,Strongly agree,Strongly disagree,Strongly disagree,I have experienced none of these,Strongly effective,Strongly effective,Strongly effective,Strongly effective,Strongly effective,Strongly effective,"It looks like me., The graphics look realistic.",Over half of my time in VR is work-related.,11-20 hours,Yes,California,Female,I don't know/Not applicable,NA,More than a year,NA
About once a week,Daily,Rarely,Monthly,Daily,Once a week,Once a week,Daily,Rarely,Rarely,Neutral,Neutral,Unimportant,Important,Don't know/Prefer not to answer,Somewhat,Acceptable,Acceptable,Acceptable,Unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Agree,Agree,Disagree,Disagree,Agree,Agree,Play games,Strongly disagree,Strongly agree,Disagree,Disagree,I have experienced none of these,Effective,Effective,Effective,Effective,Effective,Don't know/NA,"It looks non-human (robot/animal)., The graphics look like a cartoon.",Over half of my time in VR is work-related.,6-10 hours,Yes,California,Female,I don't know/Not applicable,NA,Between 3 months and 6 months,NA
More than once a week,Daily,Monthly,Monthly,Daily,2 + times per week,Monthly,Rarely,Monthly,2 + times per week,Important,Unimportant,Unimportant,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Encrypted texts (Signal, WhatsApp), Adblocker software",Not at all,Acceptable,Acceptable,Somewhat acceptable,Somewhat unacceptable,I spend slightly more time in single-user/solo than multi-user experiences.,Strongly agree,Strongly agree,Strongly agree,Agree,Disagree,Agree,Strongly agree,Unique experiences,Agree,Disagree,Disagree,Disagree,I have experienced none of these,Effective,Strongly effective,Strongly ineffective,Effective,Ineffective,Ineffective,"It looks like me., The graphics look like a cartoon.",Less than half of my time in VR is work-related.,2-5 hours,Yes,California,Female,Yes,NA,More than a year,NA
More than once a week,Daily,Rarely,2+ times per week,2+ times per week,2 + times per week,Rarely,Rarely,Rarely,Rarely,Unimportant,Unimportant,Unimportant,Important,"Two-factor authentication (Authy, Google Authenticator, SMS codes), Password manager (Last Pass, 1Password), Encrypted texts (Signal, WhatsApp), Adblocker software, VPN<d5>s (NordNet, Private Internet Access, Tunnel Bear)",Very little,Neutral,Somewhat unacceptable,Somewhat unacceptable,Unacceptable,I spend significantly more time in single-user/solo than in multi-user experiences.,Disagree,Agree,Agree,Strongly disagree,Strongly disagree,Strongly agree,Agree,Get work done,Disagree,Agree,Disagree,Disagree,I have experienced none of these,Neutral,Effective,Effective,Effective,Neutral,Don't know/NA,"It looks non-human (robot/animal)., The graphics look like a cartoon.",Over half of my time in VR is work-related.,2-5 hours,No,NA,Male,No,NA,More than a year,Canada
